method,stage,adapter_eval_mode,layer,module,pretrained_top_k,top_k,epsilon,num_intruders,mean_max_similarity
single_lora,fever,n/a,8,q_proj,50,50,0.8,0,0.9996975660324097
single_lora,fever,n/a,8,v_proj,50,50,0.8,0,0.9843077063560486
single_lora,fever,n/a,8,up_proj,50,50,0.8,0,0.9908640384674072
single_lora,fever,n/a,8,down_proj,50,50,0.8,0,0.9996724128723145
single_lora,fever,n/a,15,q_proj,50,50,0.8,0,0.9999569654464722
single_lora,fever,n/a,15,v_proj,50,50,0.8,0,0.9997460842132568
single_lora,fever,n/a,15,up_proj,50,50,0.8,0,0.9999414086341858
single_lora,fever,n/a,15,down_proj,50,50,0.8,0,0.9999396800994873
single_lora,mnli,n/a,0,q_proj,50,50,0.8,0,0.9999797344207764
single_lora,mnli,n/a,0,v_proj,50,50,0.8,2,0.983741283416748
single_lora,mnli,n/a,0,up_proj,50,50,0.8,0,0.9997882843017578
single_lora,mnli,n/a,0,down_proj,50,50,0.8,0,0.9978994727134705
single_lora,mnli,n/a,8,q_proj,50,50,0.8,0,0.9998518228530884
single_lora,mnli,n/a,8,v_proj,50,50,0.8,0,0.9926214814186096
single_lora,mnli,n/a,8,up_proj,50,50,0.8,0,0.9988187551498413
single_lora,mnli,n/a,8,down_proj,50,50,0.8,0,0.999929666519165
single_lora,mnli,n/a,15,q_proj,50,50,0.8,0,0.9999887347221375
single_lora,mnli,n/a,15,v_proj,50,50,0.8,0,0.9999178051948547
single_lora,mnli,n/a,15,up_proj,50,50,0.8,0,0.9999833106994629
single_lora,mnli,n/a,15,down_proj,50,50,0.8,0,0.9999485611915588
single_lora,qqp,n/a,0,q_proj,50,50,0.8,0,0.9999755620956421
single_lora,qqp,n/a,0,v_proj,50,50,0.8,0,0.9905188083648682
single_lora,qqp,n/a,0,up_proj,50,50,0.8,0,0.9995207190513611
single_lora,qqp,n/a,0,down_proj,50,50,0.8,0,0.9930689334869385
single_lora,qqp,n/a,8,q_proj,50,50,0.8,0,0.9997789263725281
single_lora,qqp,n/a,8,v_proj,50,50,0.8,0,0.9924899339675903
single_lora,qqp,n/a,8,up_proj,50,50,0.8,0,0.9978300333023071
single_lora,qqp,n/a,8,down_proj,50,50,0.8,0,0.9999139904975891
single_lora,qqp,n/a,15,q_proj,50,50,0.8,0,0.9999863505363464
single_lora,qqp,n/a,15,v_proj,50,50,0.8,0,0.9998680949211121
single_lora,qqp,n/a,15,up_proj,50,50,0.8,0,0.9999609589576721
single_lora,qqp,n/a,15,down_proj,50,50,0.8,0,0.9999509453773499
single_lora,siqa,n/a,0,q_proj,50,50,0.8,0,0.9998366832733154
single_lora,siqa,n/a,0,v_proj,50,50,0.8,1,0.9835147261619568
single_lora,siqa,n/a,0,up_proj,50,50,0.8,0,0.999346137046814
single_lora,siqa,n/a,0,down_proj,50,50,0.8,0,0.9940502047538757
single_lora,siqa,n/a,8,q_proj,50,50,0.8,0,0.9998114109039307
single_lora,siqa,n/a,8,v_proj,50,50,0.8,0,0.985653817653656
single_lora,siqa,n/a,8,up_proj,50,50,0.8,0,0.9916335940361023
single_lora,siqa,n/a,8,down_proj,50,50,0.8,0,0.9998466372489929
single_lora,siqa,n/a,15,q_proj,50,50,0.8,0,0.999980628490448
single_lora,siqa,n/a,15,v_proj,50,50,0.8,0,0.9997743368148804
single_lora,siqa,n/a,15,up_proj,50,50,0.8,0,0.9999653100967407
single_lora,siqa,n/a,15,down_proj,50,50,0.8,0,0.99994295835495
single_lora,sst2,n/a,0,q_proj,50,50,0.8,0,0.999956488609314
single_lora,sst2,n/a,0,v_proj,50,50,0.8,2,0.9840875267982483
single_lora,sst2,n/a,0,up_proj,50,50,0.8,0,0.9994506239891052
single_lora,sst2,n/a,0,down_proj,50,50,0.8,2,0.9880215525627136
single_lora,sst2,n/a,8,q_proj,50,50,0.8,0,0.9998035430908203
single_lora,sst2,n/a,8,v_proj,50,50,0.8,2,0.985043466091156
single_lora,sst2,n/a,8,up_proj,50,50,0.8,0,0.9985789656639099
single_lora,sst2,n/a,8,down_proj,50,50,0.8,0,0.9998959898948669
single_lora,sst2,n/a,15,q_proj,50,50,0.8,0,0.9999815225601196
single_lora,sst2,n/a,15,v_proj,50,50,0.8,0,0.9998676776885986
single_lora,sst2,n/a,15,up_proj,50,50,0.8,0,0.999966561794281
single_lora,sst2,n/a,15,down_proj,50,50,0.8,0,0.9999473690986633
single_lora,winogrande,n/a,0,q_proj,50,50,0.8,0,0.9996864199638367
single_lora,winogrande,n/a,0,v_proj,50,50,0.8,0,0.989031195640564
single_lora,winogrande,n/a,0,up_proj,50,50,0.8,0,0.9993487596511841
single_lora,winogrande,n/a,0,down_proj,50,50,0.8,0,0.9969258904457092
single_lora,winogrande,n/a,8,q_proj,50,50,0.8,0,0.9998118877410889
single_lora,winogrande,n/a,8,v_proj,50,50,0.8,0,0.9848305583000183
single_lora,winogrande,n/a,8,up_proj,50,50,0.8,0,0.9891040921211243
single_lora,winogrande,n/a,8,down_proj,50,50,0.8,0,0.9998399615287781
single_lora,winogrande,n/a,15,q_proj,50,50,0.8,0,0.999953031539917
single_lora,winogrande,n/a,15,v_proj,50,50,0.8,0,0.9997137188911438
single_lora,winogrande,n/a,15,up_proj,50,50,0.8,0,0.9999602437019348
single_lora,winogrande,n/a,15,down_proj,50,50,0.8,0,0.9999527931213379
stacked_lora,fever,fixed_gates,0,q_proj,50,50,0.8,0,0.9998371005058289
stacked_lora,fever,fixed_gates,0,v_proj,50,50,0.8,2,0.9644026160240173
stacked_lora,fever,fixed_gates,0,up_proj,50,50,0.8,0,0.9986900091171265
stacked_lora,fever,fixed_gates,0,down_proj,50,50,0.8,0,0.9940904378890991
stacked_lora,fever,fixed_gates,8,q_proj,50,50,0.8,0,0.999764621257782
stacked_lora,fever,fixed_gates,8,v_proj,50,50,0.8,0,0.9882504343986511
stacked_lora,fever,fixed_gates,8,up_proj,50,50,0.8,0,0.994598925113678
stacked_lora,fever,fixed_gates,8,down_proj,50,50,0.8,0,0.9992687702178955
stacked_lora,fever,fixed_gates,15,q_proj,50,50,0.8,0,0.9999326467514038
stacked_lora,fever,fixed_gates,15,v_proj,50,50,0.8,0,0.9995068311691284
stacked_lora,fever,fixed_gates,15,up_proj,50,50,0.8,0,0.9998565912246704
stacked_lora,fever,fixed_gates,15,down_proj,50,50,0.8,0,0.9999174475669861
stacked_lora,mnli,fixed_gates,0,q_proj,50,50,0.8,0,0.9999804496765137
stacked_lora,mnli,fixed_gates,0,v_proj,50,50,0.8,2,0.9837614297866821
stacked_lora,mnli,fixed_gates,0,up_proj,50,50,0.8,0,0.9997940063476562
stacked_lora,mnli,fixed_gates,0,down_proj,50,50,0.8,0,0.998081386089325
stacked_lora,mnli,fixed_gates,8,q_proj,50,50,0.8,0,0.9998495578765869
stacked_lora,mnli,fixed_gates,8,v_proj,50,50,0.8,0,0.992909848690033
stacked_lora,mnli,fixed_gates,8,up_proj,50,50,0.8,0,0.9988013505935669
stacked_lora,mnli,fixed_gates,8,down_proj,50,50,0.8,0,0.9999287128448486
stacked_lora,mnli,fixed_gates,15,q_proj,50,50,0.8,0,0.9999887347221375
stacked_lora,mnli,fixed_gates,15,v_proj,50,50,0.8,0,0.9999013543128967
stacked_lora,mnli,fixed_gates,15,up_proj,50,50,0.8,0,0.9999831318855286
stacked_lora,mnli,fixed_gates,15,down_proj,50,50,0.8,0,0.9999434947967529
stacked_lora,qqp,fixed_gates,0,q_proj,50,50,0.8,0,0.9999752044677734
stacked_lora,qqp,fixed_gates,0,v_proj,50,50,0.8,2,0.985068142414093
stacked_lora,qqp,fixed_gates,0,up_proj,50,50,0.8,0,0.9996656775474548
stacked_lora,qqp,fixed_gates,0,down_proj,50,50,0.8,0,0.9977703094482422
stacked_lora,qqp,fixed_gates,8,q_proj,50,50,0.8,0,0.9998281598091125
stacked_lora,qqp,fixed_gates,8,v_proj,50,50,0.8,0,0.9949885606765747
stacked_lora,qqp,fixed_gates,8,up_proj,50,50,0.8,0,0.9984918236732483
stacked_lora,qqp,fixed_gates,8,down_proj,50,50,0.8,0,0.9998509883880615
stacked_lora,qqp,fixed_gates,15,q_proj,50,50,0.8,0,0.999980628490448
stacked_lora,qqp,fixed_gates,15,v_proj,50,50,0.8,0,0.9998515248298645
stacked_lora,qqp,fixed_gates,15,up_proj,50,50,0.8,0,0.9999641180038452
stacked_lora,qqp,fixed_gates,15,down_proj,50,50,0.8,0,0.999936044216156
stacked_lora,siqa,fixed_gates,0,q_proj,50,50,0.8,0,0.9998834133148193
stacked_lora,siqa,fixed_gates,0,v_proj,50,50,0.8,0,0.9824559688568115
stacked_lora,siqa,fixed_gates,0,up_proj,50,50,0.8,0,0.9992213249206543
stacked_lora,siqa,fixed_gates,0,down_proj,50,50,0.8,0,0.9946891665458679
stacked_lora,siqa,fixed_gates,8,q_proj,50,50,0.8,0,0.9997891187667847
stacked_lora,siqa,fixed_gates,8,v_proj,50,50,0.8,0,0.9868065118789673
stacked_lora,siqa,fixed_gates,8,up_proj,50,50,0.8,0,0.9944416880607605
stacked_lora,siqa,fixed_gates,8,down_proj,50,50,0.8,0,0.9993064403533936
stacked_lora,siqa,fixed_gates,15,q_proj,50,50,0.8,0,0.9999588131904602
stacked_lora,siqa,fixed_gates,15,v_proj,50,50,0.8,0,0.9997533559799194
stacked_lora,siqa,fixed_gates,15,up_proj,50,50,0.8,0,0.9999150037765503
stacked_lora,siqa,fixed_gates,15,down_proj,50,50,0.8,0,0.9998760223388672
stacked_lora,sst2,fixed_gates,0,q_proj,50,50,0.8,0,0.9999505877494812
stacked_lora,sst2,fixed_gates,0,v_proj,50,50,0.8,0,0.9858297109603882
stacked_lora,sst2,fixed_gates,0,up_proj,50,50,0.8,0,0.9995673298835754
stacked_lora,sst2,fixed_gates,0,down_proj,50,50,0.8,0,0.9975964426994324
stacked_lora,sst2,fixed_gates,8,q_proj,50,50,0.8,0,0.9998189806938171
stacked_lora,sst2,fixed_gates,8,v_proj,50,50,0.8,0,0.9924035668373108
stacked_lora,sst2,fixed_gates,8,up_proj,50,50,0.8,0,0.995577871799469
stacked_lora,sst2,fixed_gates,8,down_proj,50,50,0.8,0,0.9998002648353577
stacked_lora,sst2,fixed_gates,15,q_proj,50,50,0.8,0,0.9999750256538391
stacked_lora,sst2,fixed_gates,15,v_proj,50,50,0.8,0,0.9998471140861511
stacked_lora,sst2,fixed_gates,15,up_proj,50,50,0.8,0,0.9999430775642395
stacked_lora,sst2,fixed_gates,15,down_proj,50,50,0.8,0,0.9999176859855652
stacked_lora,winogrande,fixed_gates,0,q_proj,50,50,0.8,0,0.9998691082000732
stacked_lora,winogrande,fixed_gates,0,v_proj,50,50,0.8,0,0.982776403427124
stacked_lora,winogrande,fixed_gates,0,up_proj,50,50,0.8,0,0.9990565776824951
stacked_lora,winogrande,fixed_gates,0,down_proj,50,50,0.8,0,0.9966075420379639
stacked_lora,winogrande,fixed_gates,8,q_proj,50,50,0.8,0,0.9997626543045044
stacked_lora,winogrande,fixed_gates,8,v_proj,50,50,0.8,0,0.9854270815849304
stacked_lora,winogrande,fixed_gates,8,up_proj,50,50,0.8,0,0.9888526797294617
stacked_lora,winogrande,fixed_gates,8,down_proj,50,50,0.8,0,0.999327540397644
stacked_lora,winogrande,fixed_gates,15,q_proj,50,50,0.8,0,0.9999489784240723
stacked_lora,winogrande,fixed_gates,15,v_proj,50,50,0.8,0,0.9997033476829529
stacked_lora,winogrande,fixed_gates,15,up_proj,50,50,0.8,0,0.9999315142631531
stacked_lora,winogrande,fixed_gates,15,down_proj,50,50,0.8,0,0.9998921751976013
