method,stage,adapter_eval_mode,layer,module,top_k,epsilon,num_intruders,mean_max_similarity
stacked_lora,mnli,all,8,down_proj,150,0.5,0,0.9995449781417847
stacked_lora,mnli,all,15,q_proj,150,0.5,0,0.9999459981918335
stacked_lora,mnli,all,15,v_proj,150,0.5,0,0.9998184442520142
stacked_lora,mnli,all,15,up_proj,150,0.5,0,0.9995704889297485
stacked_lora,mnli,all,15,down_proj,150,0.5,0,0.9998586177825928
stacked_lora,qqp,all,0,q_proj,150,0.5,0,0.99956876039505
stacked_lora,qqp,all,0,v_proj,150,0.5,0,0.9942008256912231
stacked_lora,qqp,all,0,up_proj,150,0.5,0,0.9971360564231873
stacked_lora,qqp,all,0,down_proj,150,0.5,0,0.9978138208389282
stacked_lora,qqp,all,8,q_proj,150,0.5,0,0.9997406005859375
stacked_lora,qqp,all,8,v_proj,150,0.5,0,0.9929331541061401
stacked_lora,qqp,all,8,up_proj,150,0.5,0,0.9959292411804199
stacked_lora,qqp,all,8,down_proj,150,0.5,0,0.999052107334137
stacked_lora,qqp,all,15,q_proj,150,0.5,0,0.999935507774353
stacked_lora,qqp,all,15,v_proj,150,0.5,0,0.9995273947715759
stacked_lora,qqp,all,15,up_proj,150,0.5,0,0.9993149638175964
stacked_lora,qqp,all,15,down_proj,150,0.5,0,0.9998396039009094
stacked_lora,siqa,all,0,q_proj,150,0.5,0,0.9983118772506714
stacked_lora,siqa,all,0,v_proj,150,0.5,0,0.9903807640075684
stacked_lora,siqa,all,0,up_proj,150,0.5,0,0.995343804359436
stacked_lora,siqa,all,0,down_proj,150,0.5,0,0.9942309856414795
stacked_lora,siqa,all,8,q_proj,150,0.5,0,0.9995191693305969
stacked_lora,siqa,all,8,v_proj,150,0.5,0,0.9801037311553955
stacked_lora,siqa,all,8,up_proj,150,0.5,0,0.9939366579055786
stacked_lora,siqa,all,8,down_proj,150,0.5,0,0.9990084767341614
stacked_lora,siqa,all,15,q_proj,150,0.5,0,0.9998191595077515
stacked_lora,siqa,all,15,v_proj,150,0.5,0,0.999311089515686
stacked_lora,siqa,all,15,up_proj,150,0.5,0,0.9986034035682678
stacked_lora,siqa,all,15,down_proj,150,0.5,0,0.9997153878211975
stacked_lora,sst2,all,0,q_proj,150,0.5,0,0.9998213648796082
stacked_lora,sst2,all,0,v_proj,150,0.5,0,0.9935644268989563
stacked_lora,sst2,all,0,up_proj,150,0.5,0,0.9960286617279053
stacked_lora,sst2,all,0,down_proj,150,0.5,0,0.9976643919944763
stacked_lora,sst2,all,8,q_proj,150,0.5,0,0.999689519405365
stacked_lora,sst2,all,8,v_proj,150,0.5,0,0.9874497652053833
stacked_lora,sst2,all,8,up_proj,150,0.5,0,0.9940732717514038
stacked_lora,sst2,all,8,down_proj,150,0.5,0,0.9990663528442383
stacked_lora,sst2,all,15,q_proj,150,0.5,0,0.9999197125434875
stacked_lora,sst2,all,15,v_proj,150,0.5,0,0.9994840621948242
stacked_lora,sst2,all,15,up_proj,150,0.5,0,0.9989708662033081
stacked_lora,sst2,all,15,down_proj,150,0.5,0,0.9997910857200623
stacked_lora,winogrande,all,0,q_proj,150,0.5,0,0.9990910887718201
stacked_lora,winogrande,all,0,v_proj,150,0.5,0,0.9896568655967712
stacked_lora,winogrande,all,0,up_proj,150,0.5,0,0.9947921633720398
stacked_lora,winogrande,all,0,down_proj,150,0.5,0,0.994921863079071
stacked_lora,winogrande,all,8,q_proj,150,0.5,0,0.9994930028915405
stacked_lora,winogrande,all,8,v_proj,150,0.5,0,0.9791523218154907
stacked_lora,winogrande,all,8,up_proj,150,0.5,0,0.9927692413330078
stacked_lora,winogrande,all,8,down_proj,150,0.5,0,0.9989939332008362
stacked_lora,winogrande,all,15,q_proj,150,0.5,0,0.9998148679733276
stacked_lora,winogrande,all,15,v_proj,150,0.5,0,0.9993546605110168
stacked_lora,winogrande,all,15,up_proj,150,0.5,0,0.9987853765487671
stacked_lora,winogrande,all,15,down_proj,150,0.5,0,0.9996731281280518
