method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.78,0.5645140476226806
stacked_lora,qqp,mnli,0.78,0.5645140476226806
stacked_lora,qqp,qqp,0.81,0.450227469086647
stacked_lora,sst2,mnli,0.78,0.5645140476226806
stacked_lora,sst2,qqp,0.81,0.450227469086647
stacked_lora,sst2,sst2,0.936,0.2003255690895021
stacked_lora,siqa,mnli,0.78,0.5645140476226806
stacked_lora,siqa,qqp,0.81,0.450227469086647
stacked_lora,siqa,sst2,0.936,0.2003255690895021
stacked_lora,siqa,siqa,0.62,0.9515426054000854
stacked_lora,winogrande,mnli,0.78,0.5645140476226806
stacked_lora,winogrande,qqp,0.81,0.450227469086647
stacked_lora,winogrande,sst2,0.936,0.2003255690895021
stacked_lora,winogrande,siqa,0.62,0.9515426054000854
stacked_lora,winogrande,winogrande,0.542,0.6957148532867432
stacked_lora,fever,mnli,0.78,0.5645140476226806
stacked_lora,fever,qqp,0.81,0.450227469086647
stacked_lora,fever,sst2,0.936,0.2003255690895021
stacked_lora,fever,siqa,0.62,0.9515426054000854
stacked_lora,fever,winogrande,0.542,0.6957148532867432
stacked_lora,fever,fever,0.646,1.0219186129570008
