method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.52,0.967016996383667
stacked_lora,qqp,mnli,0.52,0.967016996383667
stacked_lora,qqp,qqp,0.774,0.42841160082817076
stacked_lora,sst2,mnli,0.52,0.967016996383667
stacked_lora,sst2,qqp,0.774,0.42841160082817076
stacked_lora,sst2,sst2,0.934,0.18484044535458088
stacked_lora,siqa,mnli,0.52,0.967016996383667
stacked_lora,siqa,qqp,0.774,0.42841160082817076
stacked_lora,siqa,sst2,0.934,0.18484044535458088
stacked_lora,siqa,siqa,0.422,1.0712825031280517
stacked_lora,winogrande,mnli,0.52,0.967016996383667
stacked_lora,winogrande,qqp,0.774,0.42841160082817076
stacked_lora,winogrande,sst2,0.934,0.18484044535458088
stacked_lora,winogrande,siqa,0.422,1.0712825031280517
stacked_lora,winogrande,winogrande,0.514,0.6984512577056885
stacked_lora,fever,mnli,0.52,0.967016996383667
stacked_lora,fever,qqp,0.774,0.42841160082817076
stacked_lora,fever,sst2,0.934,0.18484044535458088
stacked_lora,fever,siqa,0.422,1.0712825031280517
stacked_lora,fever,winogrande,0.514,0.6984512577056885
stacked_lora,fever,fever,0.526,1.028551516532898
