method,stage,adapter_eval_mode,layer,module,top_k,epsilon,num_intruders,mean_max_similarity
stacked_lora,fever,all,15,q_proj,50,0.5,0,0.9999762177467346
stacked_lora,fever,all,15,v_proj,50,0.5,0,0.9998932480812073
stacked_lora,fever,all,15,up_proj,50,0.5,0,0.9999661445617676
stacked_lora,fever,all,15,down_proj,50,0.5,0,0.9999368190765381
stacked_lora,mnli,all,0,q_proj,50,0.5,0,0.9999964237213135
stacked_lora,mnli,all,0,v_proj,50,0.5,0,0.9993188977241516
stacked_lora,mnli,all,0,up_proj,50,0.5,0,0.9999727606773376
stacked_lora,mnli,all,0,down_proj,50,0.5,0,0.9999737739562988
stacked_lora,mnli,all,8,q_proj,50,0.5,0,0.9999945163726807
stacked_lora,mnli,all,8,v_proj,50,0.5,0,0.9990128874778748
stacked_lora,mnli,all,8,up_proj,50,0.5,0,0.9981924295425415
stacked_lora,mnli,all,8,down_proj,50,0.5,0,0.9999803900718689
stacked_lora,mnli,all,15,q_proj,50,0.5,0,0.9999980330467224
stacked_lora,mnli,all,15,v_proj,50,0.5,0,0.9999731183052063
stacked_lora,mnli,all,15,up_proj,50,0.5,0,0.9999923706054688
stacked_lora,mnli,all,15,down_proj,50,0.5,0,0.9999940991401672
stacked_lora,qqp,all,0,q_proj,50,0.5,0,0.9999939203262329
stacked_lora,qqp,all,0,v_proj,50,0.5,0,0.9988971948623657
stacked_lora,qqp,all,0,up_proj,50,0.5,0,0.9999613761901855
stacked_lora,qqp,all,0,down_proj,50,0.5,0,0.9999410510063171
stacked_lora,qqp,all,8,q_proj,50,0.5,0,0.9999924302101135
stacked_lora,qqp,all,8,v_proj,50,0.5,0,0.9987801313400269
stacked_lora,qqp,all,8,up_proj,50,0.5,0,0.9966461658477783
stacked_lora,qqp,all,8,down_proj,50,0.5,0,0.9999811053276062
stacked_lora,qqp,all,15,q_proj,50,0.5,0,0.9999967813491821
stacked_lora,qqp,all,15,v_proj,50,0.5,0,0.9999522566795349
stacked_lora,qqp,all,15,up_proj,50,0.5,0,0.9999793767929077
stacked_lora,qqp,all,15,down_proj,50,0.5,0,0.9999876618385315
stacked_lora,siqa,all,0,q_proj,50,0.5,0,0.9999931454658508
stacked_lora,siqa,all,0,v_proj,50,0.5,0,0.9975641369819641
stacked_lora,siqa,all,0,up_proj,50,0.5,0,0.9999135732650757
stacked_lora,siqa,all,0,down_proj,50,0.5,0,0.999930739402771
stacked_lora,siqa,all,8,q_proj,50,0.5,0,0.999982476234436
stacked_lora,siqa,all,8,v_proj,50,0.5,0,0.9982914924621582
stacked_lora,siqa,all,8,up_proj,50,0.5,0,0.9891016483306885
stacked_lora,siqa,all,8,down_proj,50,0.5,0,0.9999545216560364
stacked_lora,siqa,all,15,q_proj,50,0.5,0,0.9999868869781494
stacked_lora,siqa,all,15,v_proj,50,0.5,0,0.9999210834503174
stacked_lora,siqa,all,15,up_proj,50,0.5,0,0.99996018409729
stacked_lora,siqa,all,15,down_proj,50,0.5,0,0.9999507665634155
stacked_lora,sst2,all,0,q_proj,50,0.5,0,0.9999947547912598
stacked_lora,sst2,all,0,v_proj,50,0.5,0,0.9983718395233154
stacked_lora,sst2,all,0,up_proj,50,0.5,0,0.9999379515647888
stacked_lora,sst2,all,0,down_proj,50,0.5,0,0.9999266266822815
stacked_lora,sst2,all,8,q_proj,50,0.5,0,0.9999877214431763
stacked_lora,sst2,all,8,v_proj,50,0.5,0,0.9984559416770935
stacked_lora,sst2,all,8,up_proj,50,0.5,0,0.9954683780670166
stacked_lora,sst2,all,8,down_proj,50,0.5,0,0.9999653697013855
stacked_lora,sst2,all,15,q_proj,50,0.5,0,0.9999942779541016
stacked_lora,sst2,all,15,v_proj,50,0.5,0,0.999937117099762
stacked_lora,sst2,all,15,up_proj,50,0.5,0,0.999977171421051
stacked_lora,sst2,all,15,down_proj,50,0.5,0,0.9999544024467468
stacked_lora,winogrande,all,0,q_proj,50,0.5,0,0.999991238117218
stacked_lora,winogrande,all,0,v_proj,50,0.5,0,0.9975586533546448
stacked_lora,winogrande,all,0,up_proj,50,0.5,0,0.9999215602874756
stacked_lora,winogrande,all,0,down_proj,50,0.5,0,0.9999238848686218
stacked_lora,winogrande,all,8,q_proj,50,0.5,0,0.9999827742576599
stacked_lora,winogrande,all,8,v_proj,50,0.5,0,0.9976813793182373
stacked_lora,winogrande,all,8,up_proj,50,0.5,0,0.9884063005447388
stacked_lora,winogrande,all,8,down_proj,50,0.5,0,0.9999555945396423
stacked_lora,winogrande,all,15,q_proj,50,0.5,0,0.9999802112579346
stacked_lora,winogrande,all,15,v_proj,50,0.5,0,0.9999193549156189
stacked_lora,winogrande,all,15,up_proj,50,0.5,0,0.9999694228172302
stacked_lora,winogrande,all,15,down_proj,50,0.5,0,0.9999481439590454
