method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.504,1.0050597143173219
stacked_lora,qqp,mnli,0.504,1.0050597143173219
stacked_lora,qqp,qqp,0.704,0.5554900913238525
stacked_lora,sst2,mnli,0.504,1.0050597143173219
stacked_lora,sst2,qqp,0.704,0.5554900913238525
stacked_lora,sst2,sst2,0.928,0.20258383285999298
stacked_lora,siqa,mnli,0.504,1.0050597143173219
stacked_lora,siqa,qqp,0.704,0.5554900913238525
stacked_lora,siqa,sst2,0.928,0.20258383285999298
stacked_lora,siqa,siqa,0.348,1.1211841201782227
stacked_lora,winogrande,mnli,0.504,1.0050597143173219
stacked_lora,winogrande,qqp,0.704,0.5554900913238525
stacked_lora,winogrande,sst2,0.928,0.20258383285999298
stacked_lora,winogrande,siqa,0.348,1.1211841201782227
stacked_lora,winogrande,winogrande,0.47,0.7031289987564087
stacked_lora,fever,mnli,0.504,1.0050597143173219
stacked_lora,fever,qqp,0.704,0.5554900913238525
stacked_lora,fever,sst2,0.928,0.20258383285999298
stacked_lora,fever,siqa,0.348,1.1211841201782227
stacked_lora,fever,winogrande,0.47,0.7031289987564087
stacked_lora,fever,fever,0.392,1.1540810222625733
