method,stage,adapter_eval_mode,layer,module,pretrained_top_k,top_k,epsilon,num_intruders,mean_max_similarity
single_lora,fever,n/a,8,q_proj,150,150,0.8,0,0.9994568824768066
single_lora,fever,n/a,8,v_proj,150,150,0.8,0,0.9887920022010803
single_lora,fever,n/a,8,up_proj,150,150,0.8,0,0.9927938580513
single_lora,fever,n/a,8,down_proj,150,150,0.8,0,0.9982718825340271
single_lora,fever,n/a,15,q_proj,150,150,0.8,0,0.9997574687004089
single_lora,fever,n/a,15,v_proj,150,150,0.8,0,0.9994174242019653
single_lora,fever,n/a,15,up_proj,150,150,0.8,0,0.9987932443618774
single_lora,fever,n/a,15,down_proj,150,150,0.8,0,0.9995778203010559
single_lora,mnli,n/a,0,q_proj,150,150,0.8,0,0.9998127222061157
single_lora,mnli,n/a,0,v_proj,150,150,0.8,0,0.996272087097168
single_lora,mnli,n/a,0,up_proj,150,150,0.8,0,0.9984390139579773
single_lora,mnli,n/a,0,down_proj,150,150,0.8,0,0.9978526830673218
single_lora,mnli,n/a,8,q_proj,150,150,0.8,0,0.9997640252113342
single_lora,mnli,n/a,8,v_proj,150,150,0.8,0,0.9943082928657532
single_lora,mnli,n/a,8,up_proj,150,150,0.8,0,0.9979337453842163
single_lora,mnli,n/a,8,down_proj,150,150,0.8,0,0.9995833039283752
single_lora,mnli,n/a,15,q_proj,150,150,0.8,0,0.9999516606330872
single_lora,mnli,n/a,15,v_proj,150,150,0.8,0,0.9998327493667603
single_lora,mnli,n/a,15,up_proj,150,150,0.8,0,0.99960857629776
single_lora,mnli,n/a,15,down_proj,150,150,0.8,0,0.9998497366905212
single_lora,qqp,n/a,0,q_proj,150,150,0.8,0,0.9997341632843018
single_lora,qqp,n/a,0,v_proj,150,150,0.8,0,0.9956910014152527
single_lora,qqp,n/a,0,up_proj,150,150,0.8,0,0.9969761967658997
single_lora,qqp,n/a,0,down_proj,150,150,0.8,0,0.9973700046539307
single_lora,qqp,n/a,8,q_proj,150,150,0.8,0,0.9997204542160034
single_lora,qqp,n/a,8,v_proj,150,150,0.8,0,0.9933698773384094
single_lora,qqp,n/a,8,up_proj,150,150,0.8,0,0.9961997270584106
single_lora,qqp,n/a,8,down_proj,150,150,0.8,0,0.9995647072792053
single_lora,qqp,n/a,15,q_proj,150,150,0.8,0,0.9999287724494934
single_lora,qqp,n/a,15,v_proj,150,150,0.8,0,0.9997613430023193
single_lora,qqp,n/a,15,up_proj,150,150,0.8,0,0.9994580149650574
single_lora,qqp,n/a,15,down_proj,150,150,0.8,0,0.9998568892478943
single_lora,siqa,n/a,0,q_proj,150,150,0.8,0,0.9991399049758911
single_lora,siqa,n/a,0,v_proj,150,150,0.8,0,0.9920690655708313
single_lora,siqa,n/a,0,up_proj,150,150,0.8,0,0.9958507418632507
single_lora,siqa,n/a,0,down_proj,150,150,0.8,0,0.9970302581787109
