method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.7,0.6867128653526307
stacked_lora,qqp,mnli,0.7,0.6867128653526307
stacked_lora,qqp,qqp,0.782,0.4644441021680832
stacked_lora,sst2,mnli,0.7,0.6867128653526307
stacked_lora,sst2,qqp,0.782,0.4644441021680832
stacked_lora,sst2,sst2,0.924,0.2327634211704135
stacked_lora,siqa,mnli,0.7,0.6867128653526307
stacked_lora,siqa,qqp,0.782,0.4644441021680832
stacked_lora,siqa,sst2,0.924,0.2327634211704135
stacked_lora,siqa,siqa,0.344,1.121989644050598
stacked_lora,winogrande,mnli,0.7,0.6867128653526307
stacked_lora,winogrande,qqp,0.782,0.4644441021680832
stacked_lora,winogrande,sst2,0.924,0.2327634211704135
stacked_lora,winogrande,siqa,0.344,1.121989644050598
stacked_lora,winogrande,winogrande,0.514,0.6963170862197876
stacked_lora,fever,mnli,0.7,0.6867128653526307
stacked_lora,fever,qqp,0.782,0.4644441021680832
stacked_lora,fever,sst2,0.924,0.2327634211704135
stacked_lora,fever,siqa,0.344,1.121989644050598
stacked_lora,fever,winogrande,0.514,0.6963170862197876
stacked_lora,fever,fever,0.542,1.0075795822143554
