stage,layer,module,module_path,epsilon,lambda_scale,lambda_options,matrix_reduced_rank,top_k,num_singular_vectors,num_intruders,intruder_fraction,mean_max_similarity,min_max_similarity,correction_frobenius_norm
mnli,8,v_proj,layers.8.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,2,0.02,0.9835202097892761,0.7388952970504761,1.1725012063980103
mnli,8,up_proj,layers.8.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.998258113861084,0.9851096272468567,0.0
mnli,8,down_proj,layers.8.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,1.0003204345703125,0.9962731003761292,0.0
mnli,9,q_proj,layers.9.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9994733333587646,0.9978775978088379,0.0
mnli,9,v_proj,layers.9.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,0.9906826615333557,0.8576006293296814,0.0
mnli,9,up_proj,layers.9.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9947096109390259,0.8614659309387207,0.0
mnli,9,down_proj,layers.9.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9995328783988953,0.9774123430252075,0.0
mnli,10,q_proj,layers.10.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9993681311607361,0.9948355555534363,0.0
mnli,10,v_proj,layers.10.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,0.9943826794624329,0.9441321492195129,0.0
mnli,10,up_proj,layers.10.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.99349045753479,0.8344255089759827,0.0
mnli,10,down_proj,layers.10.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9991462230682373,0.9662323594093323,0.0
mnli,11,q_proj,layers.11.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.99950110912323,0.9973092675209045,0.0
mnli,11,v_proj,layers.11.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,0.9971725344657898,0.9827459454536438,0.0
mnli,11,up_proj,layers.11.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9977597594261169,0.9825051426887512,0.0
mnli,11,down_proj,layers.11.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9991836547851562,0.9625846147537231,0.0
mnli,12,q_proj,layers.12.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.999483585357666,0.9977625608444214,0.0
mnli,12,v_proj,layers.12.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,0.9980831742286682,0.952734112739563,0.0
mnli,12,up_proj,layers.12.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9977635741233826,0.9506188631057739,0.0
mnli,12,down_proj,layers.12.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.999297559261322,0.9469372630119324,0.0
mnli,13,q_proj,layers.13.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9995678067207336,0.9985999464988708,0.0
mnli,13,v_proj,layers.13.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,0.9996845126152039,0.9955456852912903,0.0
mnli,13,up_proj,layers.13.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9983105659484863,0.9652039408683777,0.0
mnli,13,down_proj,layers.13.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9995192885398865,0.9164332151412964,0.0
mnli,14,q_proj,layers.14.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9995561838150024,0.99921053647995,0.0
mnli,14,v_proj,layers.14.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,1.0001808404922485,0.9999908208847046,0.0
mnli,14,up_proj,layers.14.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9987894296646118,0.9839715361595154,0.0
mnli,14,down_proj,layers.14.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9970152378082275,0.9149091839790344,0.0
mnli,15,q_proj,layers.15.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9995840191841125,0.9992667436599731,0.0
mnli,15,v_proj,layers.15.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,1.0001311302185059,0.9988332390785217,0.0
mnli,15,up_proj,layers.15.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9991970062255859,0.9912329912185669,0.0
mnli,15,down_proj,layers.15.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9998602867126465,0.9929934144020081,0.0
qqp,0,q_proj,layers.0.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9993392825126648,0.9971644282341003,0.0
qqp,0,v_proj,layers.0.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,0.9767014384269714,0.8027035593986511,0.0
qqp,0,up_proj,layers.0.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9929546117782593,0.8699423670768738,0.0
qqp,0,down_proj,layers.0.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9966949224472046,0.9604238271713257,0.0
qqp,1,q_proj,layers.1.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9990270137786865,0.9961615800857544,0.0
qqp,1,v_proj,layers.1.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,0.9572816491127014,0.8156092166900635,0.0
qqp,1,up_proj,layers.1.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,2,0.02,0.9850004315376282,0.732421338558197,3.1534602642059326
qqp,1,down_proj,layers.1.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9951967000961304,0.9498940110206604,0.0
qqp,2,q_proj,layers.2.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9991815090179443,0.9950131177902222,0.0
qqp,2,v_proj,layers.2.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,4,0.04,0.9651908278465271,0.7099495530128479,1.4228280782699585
qqp,2,up_proj,layers.2.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,2,0.02,0.9732393026351929,0.7320875525474548,3.0252315998077393
qqp,2,down_proj,layers.2.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9972435235977173,0.9696416258811951,0.0
qqp,3,q_proj,layers.3.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9990796446800232,0.9949558973312378,0.0
qqp,3,v_proj,layers.3.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,0.9847167730331421,0.8881374597549438,0.0
qqp,3,up_proj,layers.3.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,2,0.02,0.981188952922821,0.7463933825492859,3.0055670738220215
qqp,3,down_proj,layers.3.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9973304867744446,0.9626061320304871,0.0
qqp,4,q_proj,layers.4.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9989891052246094,0.9935224652290344,0.0
qqp,4,v_proj,layers.4.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,0.9793888330459595,0.841931939125061,0.0
qqp,4,up_proj,layers.4.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.991270124912262,0.9275822639465332,0.0
qqp,4,down_proj,layers.4.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.997962236404419,0.9516868591308594,0.0
qqp,5,q_proj,layers.5.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9988076686859131,0.9901968240737915,0.0
qqp,5,v_proj,layers.5.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,2,0.02,0.9733990430831909,0.7896542549133301,1.0112590789794922
qqp,5,up_proj,layers.5.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9927928447723389,0.9444920420646667,0.0
qqp,5,down_proj,layers.5.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9987282752990723,0.9894891381263733,0.0
qqp,6,q_proj,layers.6.self_attn.q_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9986811280250549,0.9873591065406799,0.0
qqp,6,v_proj,layers.6.self_attn.v_proj,0.8,0.0,"[0.0, 0.5]",512,100,100,0,0.0,0.9874269366264343,0.926314115524292,0.0
qqp,6,up_proj,layers.6.mlp.up_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,2,0.02,0.9886570572853088,0.7228199243545532,3.2260477542877197
qqp,6,down_proj,layers.6.mlp.down_proj,0.8,0.0,"[0.0, 0.5]",2048,100,100,0,0.0,0.9947678446769714,0.8210225105285645,0.0
