method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.512,1.0014490423202516
stacked_lora,qqp,mnli,0.512,1.0014490423202516
stacked_lora,qqp,qqp,0.708,0.5614061632156372
stacked_lora,sst2,mnli,0.512,1.0014490423202516
stacked_lora,sst2,qqp,0.708,0.5614061632156372
stacked_lora,sst2,sst2,0.928,0.19907545587420464
stacked_lora,siqa,mnli,0.512,1.0014490423202516
stacked_lora,siqa,qqp,0.708,0.5614061632156372
stacked_lora,siqa,sst2,0.928,0.19907545587420464
stacked_lora,siqa,siqa,0.342,1.1220938177108766
stacked_lora,winogrande,mnli,0.512,1.0014490423202516
stacked_lora,winogrande,qqp,0.708,0.5614061632156372
stacked_lora,winogrande,sst2,0.928,0.19907545587420464
stacked_lora,winogrande,siqa,0.342,1.1220938177108766
stacked_lora,winogrande,winogrande,0.468,0.7029349479675293
stacked_lora,fever,mnli,0.512,1.0014490423202516
stacked_lora,fever,qqp,0.708,0.5614061632156372
stacked_lora,fever,sst2,0.928,0.19907545587420464
stacked_lora,fever,siqa,0.342,1.1220938177108766
stacked_lora,fever,winogrande,0.468,0.7029349479675293
stacked_lora,fever,fever,0.392,1.159074203491211
