method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.504,1.0050597143173219
stacked_lora,qqp,mnli,0.504,1.0050597143173219
stacked_lora,qqp,qqp,0.706,0.5557677855491638
stacked_lora,sst2,mnli,0.504,1.0050597143173219
stacked_lora,sst2,qqp,0.706,0.5557677855491638
stacked_lora,sst2,sst2,0.928,0.20293507674336433
stacked_lora,siqa,mnli,0.504,1.0050597143173219
stacked_lora,siqa,qqp,0.706,0.5557677855491638
stacked_lora,siqa,sst2,0.928,0.20293507674336433
stacked_lora,siqa,siqa,0.344,1.122173134803772
stacked_lora,winogrande,mnli,0.504,1.0050597143173219
stacked_lora,winogrande,qqp,0.706,0.5557677855491638
stacked_lora,winogrande,sst2,0.928,0.20293507674336433
stacked_lora,winogrande,siqa,0.344,1.122173134803772
stacked_lora,winogrande,winogrande,0.46,0.7027442426681518
stacked_lora,fever,mnli,0.504,1.0050597143173219
stacked_lora,fever,qqp,0.706,0.5557677855491638
stacked_lora,fever,sst2,0.928,0.20293507674336433
stacked_lora,fever,siqa,0.344,1.122173134803772
stacked_lora,fever,winogrande,0.46,0.7027442426681518
stacked_lora,fever,fever,0.392,1.1545789108276368
